phase,tenant,metric,count,mean,median,std,min,max,unit
1 - Baseline,tenant-a,memory_usage,188,79470221.61702128,80029696.0,2672112.4573353855,61087744.0,83750912.0,unknown
1 - Baseline,tenant-a,disk_throughput_total,187,199.3235867425747,0.0,1052.1929569142303,0.0,8246.488947253227,unknown
1 - Baseline,tenant-a,network_total_bandwidth,187,54617008.48513664,56044880.46939237,5994385.301168594,19464507.783845853,65655881.568559,unknown
1 - Baseline,tenant-a,cpu_usage,187,2.693520843147423,2.750653258254281,0.3085400004277312,0.7179193702696551,3.1610352137740576,unknown
1 - Baseline,tenant-c,memory_usage,188,1107375539.744681,1090859008.0,616216572.3205634,17702912.0,2163867648.0,unknown
1 - Baseline,tenant-c,disk_throughput_total,187,0.0,0.0,0.0,0.0,0.0,unknown
1 - Baseline,tenant-c,network_total_bandwidth,187,211211759.11817652,215977540.9337975,24891227.15362232,77983800.81413515,249977756.93043795,unknown
1 - Baseline,tenant-c,cpu_usage,187,0.9518595084905075,0.9761562870851128,0.11740879624934047,0.1566085656370243,1.083734467915323,unknown
1 - Baseline,tenant-d,memory_usage,188,2014028059.2340426,2619461632.0,1136287988.8818917,15208448.0,3245215744.0,unknown
1 - Baseline,tenant-d,disk_throughput_total,187,65045840.25773883,53708952.792222224,48185193.69558776,2514295.466666667,266957637.48921505,unknown
1 - Baseline,tenant-d,network_total_bandwidth,187,3954779.345840991,4169108.3956977176,1214644.7854389776,3541.061309021373,7809923.058740574,unknown
1 - Baseline,tenant-d,cpu_usage,187,2.0402271011297293,2.109640642494901,0.3325251809181447,0.0421842021171223,2.2665710277080806,unknown
2 - Attack,tenant-a,memory_usage,246,79398245.98373984,80130048.0,2898624.138708204,68141056.0,82882560.0,unknown
2 - Attack,tenant-a,disk_throughput_total,246,0.0,0.0,0.0,0.0,0.0,unknown
2 - Attack,tenant-a,network_total_bandwidth,246,53199394.01462798,53892825.217138216,4842275.585902377,40760431.44747961,64453532.83054516,unknown
2 - Attack,tenant-a,cpu_usage,246,2.7320736493769386,2.736581449938813,0.20468573627509115,2.262652863169772,3.1663000551477247,unknown
2 - Attack,tenant-b,memory_usage,245,3075667876.0489798,3115634688.0,2496904966.3106575,6250496.0,7376871424.0,unknown
2 - Attack,tenant-b,disk_throughput_total,244,52541581.3628484,55194173.67089997,10988725.053198542,1332303.4388013568,66166281.97564852,unknown
2 - Attack,tenant-b,network_total_bandwidth,244,548.7628993295841,554.7786850717806,46.0019241992893,228.79878358897275,619.8428865115241,unknown
2 - Attack,tenant-b,cpu_usage,244,6.86726565404188,7.284133335546372,1.5450240126098889,0.0060008705556237,8.01078841180393,unknown
2 - Attack,tenant-c,memory_usage,246,1384174733.5284553,1402996736.0,677919896.3868146,48377856.0,2639765504.0,unknown
2 - Attack,tenant-c,disk_throughput_total,246,0.0,0.0,0.0,0.0,0.0,unknown
2 - Attack,tenant-c,network_total_bandwidth,246,157334332.14950767,157137744.7251134,19125876.336761624,106930015.6679681,228352380.10916847,unknown
2 - Attack,tenant-c,cpu_usage,246,0.8794191625626844,0.8899221144617675,0.05769724987896149,0.6758975215945949,1.0050313150460153,unknown
2 - Attack,tenant-d,memory_usage,246,2562546829.5284553,2559700992.0,50332573.58712287,2434703360.0,2656059392.0,unknown
2 - Attack,tenant-d,disk_throughput_total,246,37275467.69288106,36990926.527795896,4838309.273710474,25932629.33333333,59695161.410757706,unknown
2 - Attack,tenant-d,network_total_bandwidth,246,4547996.594045549,4588326.5926818345,365945.68675628974,3471845.8826145497,5225608.572985756,unknown
2 - Attack,tenant-d,cpu_usage,246,2.015283052945093,2.0509501154835794,0.14303371588825448,1.5518683888255194,2.2411725177171866,unknown
3 - Recovery,tenant-a,memory_usage,93,79387747.09677419,80117760.0,2825350.724123052,68079616.0,82296832.0,unknown
3 - Recovery,tenant-a,disk_throughput_total,93,0.0,0.0,0.0,0.0,0.0,unknown
3 - Recovery,tenant-a,network_total_bandwidth,93,55356916.58109948,55820877.39048124,4338416.736585787,44268580.67044649,64737059.48900624,unknown
3 - Recovery,tenant-a,cpu_usage,93,2.7413461270687383,2.7531215992617555,0.1833423337726016,2.371872106209088,3.190514584544255,unknown
3 - Recovery,tenant-b,memory_usage,5,211537100.8,215064576.0,17738835.76764843,186576896.0,227532800.0,unknown
3 - Recovery,tenant-b,disk_throughput_total,11,37857387.15693496,36021355.074628554,18760112.28290067,2044548.685845245,59152292.03307588,unknown
3 - Recovery,tenant-b,network_total_bandwidth,11,630.4036322682115,707.6509382459726,249.25648009872387,80.13122711115616,953.0088538490072,unknown
3 - Recovery,tenant-b,cpu_usage,11,5.289962651440226,5.291311888641306,2.4645884016333315,0.6596231352610904,8.001251189825034,unknown
3 - Recovery,tenant-c,memory_usage,93,1217340184.7741935,1204801536.0,658328967.5392739,56717312.0,2492604416.0,unknown
3 - Recovery,tenant-c,disk_throughput_total,93,0.0,0.0,0.0,0.0,0.0,unknown
3 - Recovery,tenant-c,network_total_bandwidth,93,204694879.9805193,209081632.9940762,25269117.650600217,127746751.12383825,248113320.64237127,unknown
3 - Recovery,tenant-c,cpu_usage,93,0.9480592415298434,0.9558359591505904,0.0651962139270709,0.7746722897876462,1.0588057684052132,unknown
3 - Recovery,tenant-d,memory_usage,93,2923463140.4731183,2918526976.0,165249700.51391175,2570489856.0,3176443904.0,unknown
3 - Recovery,tenant-d,disk_throughput_total,93,48216735.640581004,48809986.72916258,7658982.472355916,28869811.41457124,66121984.59640166,unknown
3 - Recovery,tenant-d,network_total_bandwidth,93,4383567.331960956,4424114.493517624,325470.6080809452,3632679.522789741,5352856.498486808,unknown
3 - Recovery,tenant-d,cpu_usage,93,2.0830933802697182,2.0984024545343294,0.14677012736769088,1.694624688156514,2.2568893453742103,unknown
